date,adjustedClose,momentum_12m,peso
2009-06-04,2.4867,0.03582288499187736,0.8777331811873221
2009-06-05,2.4893,0.05224669231094392,0.8943287041076821
2009-06-08,2.4664,0.04748152552450535,0.8943287041076821
2009-06-09,2.4427,0.010925795637958702,0.8943287041076821
2009-06-10,2.4706,0.03928992091536254,0.8943287041076821
2009-06-12,2.4939,0.05015159171298644,1.0
2009-06-15,2.4471,0.0405221532443234,1.0
2009-06-16,2.4217,0.03495875892132139,1.0
2009-06-17,2.4699,-0.0002833319841334392,1.0
2009-06-18,2.4823,0.02405115511551159,1.0
2009-06-19,2.4986,0.025824198382395247,1.0
2009-06-22,2.4007,0.005570913964982882,1.0
2009-06-23,2.4124,0.032838121334075376,1.0
2009-06-24,2.424,0.027641173478039738,1.0
2009-06-25,2.4939,0.07006779370119287,1.0
2009-06-26,2.4939,0.08012473472216208,0.7836052993869843
2009-06-29,2.4354,0.05597710618739993,0.7836052993869843
2009-06-30,2.4683,0.08007701395878009,0.7836052993869843
2009-07-01,2.4497,0.0848500952127893,0.7836052993869843
2009-07-02,2.458,0.10740673995314487,0.7836052993869843
2009-07-03,2.4706,0.09955939294138583,0.8130840134193627
2009-07-06,2.5056,0.15593282893522775,0.8130840134193627
2009-07-07,2.4916,0.18777708919292557,0.8130840134193627
2009-07-08,2.4939,0.22285966460723738,0.8130840134193627
2009-07-10,2.4944,0.23748573696482622,0.8204774558406884
2009-07-13,2.5056,0.24563758389261747,0.8204774558406884
2009-07-14,2.4709,0.22273357086302448,0.8204774558406884
2009-07-15,2.5592,0.27405784835963565,0.8204774558406884
2009-07-16,2.5608,0.27030110620566505,0.8204774558406884
2009-07-17,2.5674,0.23807686743501955,0.7807672472722789
2009-07-20,2.6051,0.2676268794705856,0.7807672472722789
2009-07-21,2.5697,0.26942646840883255,0.7807672472722789
2009-07-22,2.5044,0.29453116923395006,0.7807672472722789
2009-07-23,2.5872,0.365349094939047,0.7807672472722789
2009-07-24,2.5403,0.32916492256174124,0.7764921208873642
2009-07-27,2.5163,0.34109683952459635,0.7764921208873642
2009-07-28,2.4872,0.30151753008895876,0.7764921208873642
2009-07-29,2.4867,0.317177816621643,0.7764921208873642
2009-07-30,2.517,0.3431163287086445,0.7764921208873642
2009-07-31,2.5056,0.35423197492163006,0.8104267489078589
2009-08-03,2.5639,0.3580698130197575,0.8104267489078589
2009-08-04,2.5872,0.33733071435955764,0.8104267489078589
2009-08-05,2.5646,0.32564871291222985,0.8104267489078589
2009-08-06,2.5778,0.34071878088105256,0.8104267489078589
2009-08-07,2.5825,0.33974891056235745,0.7753580913051353
2009-08-10,2.6081,0.288395988736847,0.7753580913051353
2009-08-11,2.6105,0.2605630402240573,0.7753580913051353
2009-08-12,2.6571,0.2838092477170602,0.7753580913051353
2009-08-13,2.6792,0.29167871950631574,0.7753580913051353
2009-08-14,2.7245,0.3212900096993212,0.8501046401652766
2009-08-17,2.727,0.34480718019528545,0.8501046401652766
2009-08-18,2.7037,0.34118755890669195,0.8501046401652766
2009-08-19,2.7137,0.3382483479633098,0.8501046401652766
2009-08-20,2.727,0.3411035703747418,0.8501046401652766
2009-08-21,2.7934,0.3935644799201796,1.0
2009-08-24,2.7853,0.39146725283509,1.0
2009-08-25,2.7967,0.3871831754377264,1.0
2009-08-26,2.7969,0.3808442359911133,1.0
2009-08-27,2.7969,0.363742747086645,1.0
2009-08-28,2.8436,0.39508413874307013,1.0
2009-08-31,2.8161,0.4016723906226669,1.0
2009-09-01,2.793,0.3950352130263224,1.0
2009-09-02,2.7515,0.3399727281581768,1.0
2009-09-03,2.7713,0.35112866266881193,1.0
2009-09-04,2.7492,0.343432369038311,1.0
2009-09-08,2.7853,0.3672868293161846,1.0
2009-09-09,2.7979,0.3650290286383371,1.0
2009-09-10,2.7879,0.3926270043458715,1.0
2009-09-11,2.7736,0.37001728821931335,1.0
2009-09-14,2.8109,0.3782975384917133,1.0
2009-09-15,2.8436,0.38496006234171043,1.0
2009-09-16,2.8664,0.3514380009429514,1.0
2009-09-17,2.8634,0.3210001845358921,1.0
2009-09-18,2.8732,0.3299389002036661,1.0
2009-09-21,2.8743,0.3404374387912139,1.0
2009-09-22,2.8829,0.39763416880787306,1.0
2009-09-23,2.8846,0.4165193478687881,1.0
2009-09-24,2.8878,0.3921133821828,1.0
2009-09-25,2.8592,0.3050344607239033,1.0
2009-09-28,2.9018,0.35326213682786944,1.0
2009-09-29,2.9158,0.3822888025030815,1.0
2009-09-30,2.9484,0.4055394002955617,1.0
2009-10-01,3.02,0.4239909468125236,1.0
2009-10-02,2.9988,0.4139947189739721,1.0
2009-10-05,3.0671,0.5390907266158169,1.0
2009-10-06,3.1594,0.47773620205799827,1.0
2009-10-07,3.1233,0.47256011315417257,1.0
2009-10-08,3.1463,0.5339573887182489,1.0
2009-10-09,3.1815,0.5689417102278331,1.0
2009-10-13,3.1999,0.5600897079615816,1.0
2009-10-14,3.2258,0.5656183265385362,1.0
2009-10-15,3.2375,0.6615345137285091,1.0
2009-10-16,3.2514,0.7437520111552074,1.0
2009-10-19,3.3039,0.7719081840609245,1.0
2009-10-20,3.2759,0.714053997488489,1.0
2009-10-21,3.2349,0.6327983040581466,1.0
2009-10-22,3.2608,0.7709227176451421,1.0
2009-10-23,3.2421,0.7387643462404807,1.0
2009-10-26,3.2398,0.6196570514422834,1.0
2009-10-27,3.1703,0.5282973389895875,1.0
2009-10-28,3.0766,0.47502157445584436,1.0
2009-10-29,3.2533,0.7927481126356972,1.0
2009-10-30,3.1256,0.7194410826273516,0.5922140114539858
2009-11-03,3.1349,0.772331524197196,0.5922140114539858
2009-11-04,3.1813,0.8956620188296984,0.5922140114539858
2009-11-05,3.2514,0.7536270967046004,0.5922140114539858
2009-11-06,3.24,0.7685589519650655,0.6252985534118902
